Filename;ActivityName;Location;ReferenceProduct
edaf61d4-1cad-5214-ae7a-11893c255cac_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;heat production, softwood chips from forest, at furnace 5000kW, state-of-the-art 2014;CH;heat, district or industrial, other than natural gas
07c0d6e8-a6c0-5281-b114-a09b20255367_66c93e71-f32b-4591-901c-55395db5c132.spold;heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014;NO;electricity, high voltage
a6daa58f-168f-5b1b-8356-cecf5dae82da_9e63b5ec-1147-4a34-84fd-697203242984.spold;transport, passenger aircraft, all distances to generic market for transport, passenger aircraft, unspecified;GLO;transport, passenger aircraft, unspecified
7ced553d-fbf4-550a-8abe-68c55056ee16_038ddb3a-1e4b-45f3-bcb9-5e37a69f42b0.spold;market for ground granulated blast furnace slag;RoW;ground granulated blast furnace slag
52ff7b49-208e-53db-b8e1-6dade2488e63_637ee275-a239-4dcb-b084-abfa110dd65b.spold;treatment of sewage sludge, 70% water, WWT, WW from maize starch production, municipal incineration FAE;CH;electricity, for reuse in municipal waste incineration only
ced00452-3f1d-533d-9d6e-e5802f4babdd_dcd549ef-071e-4eb7-9f2c-2cd908f16701.spold;market for foaming agent;GLO;foaming agent
ce1f3e58-42a3-5f02-bbb0-a27aa8290dee_0ace02fa-eca5-482d-a829-c18e46a52db4.spold;transport, freight train;AT;transport, freight train
37c62c48-f46e-571d-bbd0-495d30c12b3d_d899ab8e-58d3-47fa-bf64-45989f7da5be.spold;market for hydrogen, gaseous, low pressure;RER;hydrogen, gaseous, low pressure
85703154-f623-55e0-9ca3-7e81469132f0_26448127-c1ac-4f48-818a-5e8fd9cb1645.spold;beet sugar production;CH;molasses, from sugar beet
f485c125-9042-537d-8b6b-2e8ec77b87a7_d69294d7-8d64-4915-a896-9996a014c410.spold;market for electricity, low voltage;AU;electricity, low voltage
17be2af8-7ebf-52af-af4b-42432ab5e84c_3edc34a3-d5d8-43dd-ab86-ea9a44b1730c.spold;treatment of used domestic refrigerator, controlled dismantling;GH;used domestic refrigerator
dfc32b0c-d25e-5eda-b858-9c1ef18a91a3_6dbeade5-eb8e-5666-b681-f479757cfd86.spold;nutrient supply from filter cake, from sugarcane juice filtration;GLO;organic phosphorus fertiliser, as P2O5
c3e75d11-74c0-5a65-a544-8bdbd9a0fe70_93caf7f3-9e93-5f2b-9799-840c6f21dd97.spold;treatment of sewage sludge, 97% water, WWT-SLF, waste aluminium, landfarming;CH;sewage sludge, 97% water, WWT-SLF, waste aluminium
d2003957-dd3f-5682-a108-d5f4c37800c8_a9007f10-7e39-4d50-8f4a-d6d03ce3d673.spold;natural gas, high pressure, import from NG;RoE;natural gas, high pressure
599818d6-9196-57de-8040-f7215c1f9b78_426e0715-02d8-5f6d-ad79-2892bd5424f6.spold;market for planting, by no till planter;GLO;planting, by no till planter
f877ff8c-1b88-581b-9cdf-315aa0c9a673_aa802c70-0009-5762-b715-e9c07af1c224.spold;market for basic oxygen furnace slag, for recovery;RER;basic oxygen furnace slag, for recovery
1e6799eb-61fe-5cb2-9e41-7cb395a1dbd2_b0176c67-5bc0-462a-8466-4f372f446f7c.spold;market for waste polystyrene;RO;waste polystyrene
f6df42eb-4485-56f3-9033-48c8a6833879_45fbbc41-7ae9-46cc-bb31-abfa11e69de0.spold;market for heat, for reuse in municipal waste incineration only;CZ;heat, for reuse in municipal waste incineration only
f62a5211-bb08-58a6-ace8-5bff461525ca_ec25a8e0-8a4a-4fb7-ad61-8302b7744a82.spold;sawing, hardwood;CA-QC;slab and siding, hardwood, wet, measured as dry mass
254fae5b-241f-569f-bd67-bc648279e168_44ab3c7a-66d6-45b1-8e1b-17c9f225d2b6.spold;packaging glass production, green;RER w/o CH+DE;packaging glass, green
c15f4246-6df4-5aea-b45c-9ad138b8d282_a9007f10-7e39-4d50-8f4a-d6d03ce3d673.spold;market for natural gas, high pressure;PE;natural gas, high pressure
aab4b574-4541-5a6d-9b66-c50d8d0b1cbe_7494eb5f-c18b-5389-834d-131fd06c29ea.spold;electric arc furnace secondary metallurgy slag to market for electric arc furnace secondary metallurgy slag for recovery;RER;electric arc furnace secondary metallurgy slag
ad41d04d-9881-549e-82b1-4c445ce831cf_69b3d58f-ddde-59c4-a78d-2ededd641aab.spold;land already in use, annual cropland to forest, intensive;BR-MS;land tenure, arable land, measured as carbon net primary productivity, forest, intensive
e535f65b-b265-5c8a-8eb7-38f4c0c820ee_d899ab8e-58d3-47fa-bf64-45989f7da5be.spold;pyridine production, Chichibabin process;RER;hydrogen, gaseous, low pressure
229b297f-5057-50a6-a214-5f3feeb2b0a2_d86d6656-4906-400c-a980-836dba269b37.spold;operation, printer, laser, black/white, per kg printed paper;CA-QC;printed paper
9d26bc4a-f8a6-56f3-94af-d940880d28e1_479ce50b-7465-4ee0-ada2-81418055c725.spold;market for mowing, by rotary mower;GLO;mowing, by rotary mower
07d43cf4-6168-5ee4-844b-b9d6554d26a0_44e8a892-3178-4352-a898-722e68990fe9.spold;propylene production, from propane dehydrogenation;CN;ethylene
87550ae9-9dca-528d-adec-93637051d56c_6dbeade5-eb8e-5666-b681-f479757cfd86.spold;treatment of sewage sludge, 97% water, WWT-SLF, refinery sludge, landfarming;CH;organic phosphorus fertiliser, as P2O5
13f5e1f0-9ae1-5b3f-93f8-adaccb6d7245_3ab60559-40d3-42e4-9cac-476a519098fa.spold;hydrochloric acid production, from the reaction of hydrogen with chlorine;CA-QC;hydrochloric acid, without water, in 30% solution state
0bc200be-b3e6-56b3-aa79-21534efb7a9a_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;treatment of coal gas, in power plant;CA-PE;heat, district or industrial, other than natural gas
394c1a64-c090-550e-a8eb-75f4de4907c3_e9d62932-4f38-41b4-95ea-4bf77569fcc8.spold;market for iron ore, crude ore, 63% Fe;GLO;iron ore, crude ore, 63% Fe
202c3edc-8de2-55f7-a17e-d7bc74aa40c5_da17f9b2-420c-5f5b-8f1c-cd5f252d64c1.spold;market for hydrazine sulfate;GLO;hydrazine sulfate
93074d88-c658-5668-949f-8ba6eac57393_7b1a023d-a5d6-5fde-8208-6e16588c770d.spold;market for residues, MSWI, LDPE/Alu in waste juice carton (ambient), post-industrial;RER;residues, MSWI, LDPE/Alu in waste juice carton (ambient), post-industrial
6a48ccbe-6058-50d4-b8bd-add48e5759a0_cdbf0bef-39f7-46c8-87a2-3f9f679b5bb7.spold;hake, capture by trawler and landing whole, fresh;NA;demersal fish, fresh
5f063be4-903f-569b-855e-eb79c59c9f25_3c2ed2e3-ebe6-42a2-8b3a-27b5008eb924.spold;treatment of residues, MSWI[F]-WWT-SLF, waste bitumen, residual material landfill;CH;residues, MSWI[F]-WWT-SLF, waste bitumen
da724b62-d9b2-5996-b85a-e1f2983baa4e_b2c6db8a-b305-4413-a9c3-5460417f48de.spold;aluminium oxide production;RNA;aluminium oxide, metallurgical
e38e37e0-a060-5d8f-9dea-24d7ee155f9d_2a905712-55e8-56dc-9f48-e5af3d2eaa2a.spold;treatment of bottom ash, MSWI, municipal solid waste, slag compartment;TW;bottom ash, MSWI, municipal solid waste
74f74d97-9e8e-5291-835d-e67f8628273b_4c2bb0f0-422d-4fb3-bcfe-a36ef1b55874.spold;land already in use, perennial cropland to annual crop;BR-RJ;land tenure, arable land, measured as carbon net primary productivity, annual crop
7f8fdbd5-631f-5d3e-ae61-d7d31467ceb8_cbae456e-4e3a-4537-8789-e259cecf25dc.spold;market for battery management system, for Li-ion battery;GLO;battery management system, for Li-ion battery
560be42a-df22-53f3-9e8f-6809455799bb_b2c8815a-b3fc-44b1-9b62-289dd82210f3.spold;market for residues, MSWI[F]-WWT, WW from CRT production;CH;residues, MSWI[F]-WWT, WW from CRT production
5e35e1ee-2050-51d5-8f46-da1d44fc3418_66084f92-4bed-46cb-931e-7ea8300c0972.spold;mounting, through-hole technology, Pb-free solder;GLO;mounting, through-hole technology, Pb-free solder
bf0eb149-6485-5165-8063-3c920528a99f_7e9077e8-7bbc-44c4-9759-62526ff34d47.spold;concrete production, 20MPa, with cement, Portland;North America without Quebec;concrete, 20MPa
ed6fc0a4-bf6d-5798-ae7f-be9880645415_43c831c7-8759-4b40-94b4-b6e0f05087a7.spold;market for solid bleached and unbleached board carton;RoW;solid bleached and unbleached board carton
bbbcbc31-ca35-5967-9933-2fa13cb08747_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, oil;IN-DL;electricity, high voltage
9f4eedd4-b5b3-5690-9d30-8e0e63e461af_94ef9b64-be1e-4fea-a206-a952eb605628.spold;market for calcium nitrate;RoW;calcium nitrate
f10c2323-4f19-57cb-8dbd-932d2b4e880f_68850e7f-0daf-4744-a87d-146555861f30.spold;haying, by rotary tedder;RoW;haying, by rotary tedder
b3919e7c-2b9d-52fc-b5c5-f2095338c63d_915500af-3702-4039-8ea7-005a5f84cd2d.spold;bentonite quarry construction;DE;bentonite quarry infrastructure
156284c4-3674-565b-90ff-7bf64cc682ae_0d3eda5a-4601-4573-9549-0701c459ab88.spold;hard coal, run-of-mine to market for hard coal;IN;hard coal
fc284af4-ae4c-5ccb-9d38-bad308d9e3f4_a56c49fd-0157-492e-ae84-5f0726c7058b.spold;precious metal refinery construction;SE;precious metal refinery
4f216e7b-0413-5bf1-9b42-5b3769b6dce8_1d32b849-121f-4d23-853c-fa2bf55c42e9.spold;market for land use change, annual crop;BR-PA;land use change, annual crop
4b5f964e-9c41-5a2a-99f1-d86c1c9af30f_d7f544d6-c372-4fc3-81ae-44aa3614c9fc.spold;wheat grain production, Swiss integrated production, intensive;CH;straw
a21f7b99-0ad0-5265-95c0-7a49f6976685_1b30b018-ac39-41f4-a9e0-92057eef8bb8.spold;treatment of waste mineral oil, hazardous waste incineration, with energy recovery;RoW;waste mineral oil
a1a4575d-45f6-55f0-842b-d030659107aa_c4f7fc5e-1e0a-4ced-b431-76c8c539d95e.spold;start-up, heat and power co-generation unit, 160kW electrical;RoW;start-up, heat and power co-generation unit, 160kW electrical
4e48c996-adc9-58a2-aeb7-c82d98471783_56179069-a600-44f6-8403-9de4a908fd82.spold;stirling heat and power co-generation unit construction, 3kW electrical, wood pellet, future;CH;stirling heat and power co-generation unit, 3kW electrical, wood pellet, future
f6e2aa5c-b60b-5270-9b51-78d0923bf32a_75edc073-be76-5bc1-82a1-7be1ce500aaa.spold;market for land use change, forest, intensive;BR-GO;land use change, forest, intensive
d0218ae4-567c-5545-88cd-f804395c2211_7494eb5f-c18b-5389-834d-131fd06c29ea.spold;treatment of electric arc furnace secondary metallurgy slag, residual material landfill;GLO;electric arc furnace secondary metallurgy slag
f5c614d7-4914-50ca-b6d7-628412808457_4fcfb407-7879-42ad-9582-ab3fbfe5af10.spold;market for electricity, medium voltage, aluminium industry;IAI Area, Asia, without China and GCC;electricity, medium voltage, aluminium industry
cbda30c1-530c-597d-9224-5f2c20771077_4b6850fe-ce66-4f8e-a8b2-7a99946dcc8a.spold;market for bottom ash, MSWI, waste paint;RoW;bottom ash, MSWI, waste paint
ec8b0739-c905-5ac7-b0e1-7e07c64334b9_2341598f-166d-4f0c-97d2-0077a191b11f.spold;market for transport, freight, lorry 28 metric ton, fatty acid methyl ester 100%;CH;transport, freight, lorry 28 metric ton, fatty acid methyl ester 100%
c7cf7806-5c94-5b48-a09e-396b356daf52_aef9a6fa-55d2-4492-b559-06a2811b6017.spold;market for pulp factory;GLO;pulp factory
60f0ebce-01d8-501d-bc46-2f66cfcfab50_1e62439e-fa8d-4049-9460-e0c155d2ddbe.spold;transmission network construction, electricity, high voltage;CH;transmission network, electricity, high voltage
65bd8f6a-b7a7-5618-ac10-0894d300af28_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hard coal;CA-PE;electricity, high voltage
6513fa07-7cce-56cb-b4d6-abbee2a11e95_0f04817c-859e-42e7-a4e3-2aa8bf257fc9.spold;heat production, at solar+wood heating, flat plate, one-family house, combined system;CH;heat, solar+wood, one-family house, for combined system
017ff560-c628-5cfd-9538-86786e4fb7d5_a9007f10-7e39-4d50-8f4a-d6d03ce3d673.spold;market for natural gas, high pressure;BR;natural gas, high pressure
e284e964-a9c9-51e2-8f61-e552ecc03af3_7c4dafff-fe18-45c0-92e4-857950032abb.spold;market for inorganic potassium fertiliser, as K2O;PE;inorganic potassium fertiliser, as K2O
5135c24c-2ace-5d7d-af0a-fe73784f17a9_a9007f10-7e39-4d50-8f4a-d6d03ce3d673.spold;market for natural gas, high pressure;EC;natural gas, high pressure
988d2cb5-6f89-5ee4-aaca-32af36569dc3_20be372a-432a-5e38-a871-381816eb8b67.spold;treatment of bottom ash, MSWI[F]-WWT-SLF, waste plastic, mixture, slag compartment;CH;bottom ash, MSWI[F]-WWT-SLF, waste plastic, mixture
7d935a47-2089-5b67-9546-5e27da5cb6f8_6dbeade5-eb8e-5666-b681-f479757cfd86.spold;treatment of sewage sludge, 97% water, WWT-SLF, sludge from pulp and paper production, landfarming;RoW;organic phosphorus fertiliser, as P2O5
12d59a6c-d51a-5044-9537-978bdef7dfdb_dafa1eaf-3254-436c-a273-1f38b10ee28e.spold;market for 2-cyclopentanone;GLO;2-cyclopentanone
84fe6431-96e1-5402-8e1a-bf4311a6273a_cf52c0fe-72b3-4f42-a475-16a5b2a6f850.spold;combine harvesting;ZA;combine harvesting
c2edfc1f-9ea6-52b7-ae26-a75af84afbd1_f07c38c6-4544-457a-9d45-40360514d7b2.spold;treatment of water discharge from petroleum extraction, offshore;GLO;water discharge from petroleum extraction, offshore
e687ee94-9317-5c43-b6c6-2c3eb836088b_ba849663-a190-415b-9119-16df53b10fcc.spold;cement cast plaster floor production;CH;cement cast plaster floor
89d41080-c9bb-5ce6-9729-d6d486ca81d3_777bc26c-02e7-441e-a487-e4d4a87dae49.spold;market for waste emulsion paint;Europe without Switzerland;waste emulsion paint
98c5fa7e-aa4b-5dca-83b7-6577ef7f4790_8dbc8c43-7edb-4b94-b202-0eb010909276.spold;market for laser machining, metal, with CO2-laser, 2700W power;GLO;laser machining, metal, with CO2-laser, 2700W power
717aaf92-5c90-5a7c-a00d-cad973fbb73e_20347b3a-bd20-4e9d-b87d-c51e43579ee8.spold;market for used intermodal shipping container, 45-foot, high-cube;GLO;used intermodal shipping container, 45-foot, high-cube
a5a2f71a-43b1-510c-ac8a-c7614d216759_60cfe502-80f5-4a1e-9a97-48503466a802.spold;tillage, cultivating, chiselling;AU;tillage, cultivating, chiselling
1a3bd898-f7bf-56de-9fbe-eac453aad037_dae141a8-7daa-4f03-a649-b85b718ac65b.spold;market for waste glass;AT;waste glass
54c4e699-eff1-5fc1-ae50-6b817c0882b3_1458c180-5333-475e-88d2-7886d76e779e.spold;lath, softwood, raw, air drying to u=20%;RoW;sawnwood, lath, softwood, raw, dried (u=20%)
2f9a248c-0c35-5b50-9124-cf1e6212af39_0a08670b-0a9d-4557-bd4a-5cacabf621ea.spold;treatment of residues, MSWI[F]-WWT-SLF, residue from cooling tower, residual material landfill;CH;residues, MSWI[F]-WWT-SLF, residue from cooling tower
86cae8f4-41d3-5c9d-b6c0-6fb8988c0202_4d6ea39a-730e-4025-b151-bc2cfd4ffc65.spold;market for residues, MSWI, zinc in car shredder residue;GLO;residues, MSWI, zinc in car shredder residue
63ea5b44-26ff-51a7-bbc9-5d331d3cdd55_e4478b33-83cb-40fb-aae6-3888f13ad5c6.spold;graphic paper production, 100% recycled;RER;graphic paper, 100% recycled
4b9e4f17-9656-5c75-8d00-455c0f351dc6_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, wind, >3MW turbine, onshore;HR;electricity, high voltage
ea9fab25-c224-50c8-9df3-7c6ec248faf3_bfbebb42-d443-4cc1-8300-7dbf18a85a0b.spold;apricot production;FR;apricot
0e97c729-9248-558f-8035-411041178243_701f1faa-4ea9-4c01-afbb-c55dafe92762.spold;ventilation system production, decentralized, 6 x 120 m3/h, polyethylene ducts, with earth tube heat exchanger;RoW;ventilation system, decentralized, 6 x 120 m3/h, polyethylene ducts, with earth tube heat exchanger
d71e7c45-05ee-5a5d-8a8b-c465ba4f48a3_d69294d7-8d64-4915-a896-9996a014c410.spold;market for electricity, low voltage;PE;electricity, low voltage
1a4a7083-28be-583d-bd6e-9e6c494fb0b5_0451c9ba-5f09-4e23-a8b4-3d7ee441a6fc.spold;clinker production;RoW;blast furnace sludge
a9cc7d5a-5e67-5fd0-9b4d-3b9eec611a21_f66846ab-83a7-41ec-8139-d879268bada0.spold;market for planting with starter fertiliser, by no till planter;GLO;planting with starter fertiliser, by no till planter
36b4f87f-49ff-55ea-b67b-74b1a00c7b1d_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;CN-QH;electricity, low voltage
474b27ef-703b-562c-adfb-fe91c0b357a2_9cdb112b-0d90-4d76-9cec-412b0c67d8bb.spold;treatment of waste polyurethane, sanitary landfill;RoW;waste polyurethane
fa6a487e-cf18-5f35-ba2d-a651b1a780fc_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, natural gas, conventional power plant;IN-PY;electricity, high voltage
ff51a475-ec21-5a3c-a5c2-e2cd14da1bf9_9d447e1a-a41a-43ac-b374-d0fc6dcb61df.spold;synthetic fuel production, from coal, high temperature Fisher-Tropsch operations;ZA;liquefied petroleum gas
24f0da35-dec7-54ec-9e64-7d493104ede3_85f25c36-edd2-4383-9fbc-4577e0726e00.spold;market for battery, NiMH, rechargeable, prismatic;GLO;battery, NiMH, rechargeable, prismatic
52542175-7924-532d-8851-60dbee76b872_8c37a5c5-f005-417e-8f0f-8324631183c5.spold;market for residues, MSWI[F]-WWT-SLF, waste paint;CH;residues, MSWI[F]-WWT-SLF, waste paint
1f4b512a-1769-56a0-856e-6d689d11667d_dafa1eaf-3254-436c-a273-1f38b10ee28e.spold;2-cyclopentanone production, decarboxylative cyclization of adipic acid;RER;2-cyclopentanone
93888761-a28b-55d2-a882-9bea840d7d49_833ce149-4770-47bc-bff0-abfa11620608.spold;treatment of sulfidic tailings, from zinc-lead mine operation, tailings impoundment;IN;sulfidic tailings, from zinc-lead mine operation
1a4a7083-28be-583d-bd6e-9e6c494fb0b5_76ab0018-e176-43e0-b42c-12e82b937fef.spold;clinker production;RoW;hard coal ash
0373f9d7-dd1b-5c84-bb16-2aa4ed7559e9_a3ee1ec6-ce17-430e-a475-f98f1b2890d2.spold;milk production, from cow;ZA;cow milk
2fa85a88-9648-522b-ad41-29d218690462_433dda9a-3540-45fb-9b72-29ffe0ed9a13.spold;operation, housing system, pig, electricity from renewable energy products;CA-QC;operation, housing system, pig, per pig place, electricity from renewable energy products
cfb57510-b3cb-5580-9f66-632c5fc96c53_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;treatment of waste bitumen, sanitary landfill;Europe without Switzerland;heat, district or industrial, other than natural gas
d4c516f0-b333-54ff-8f0d-e97abc3c220a_d0694438-aa88-45bc-9ddf-190edb11692c.spold;wheat seed production, Swiss integrated production, for sowing;CH;wheat seed, Swiss integrated production, for sowing
7d5f1490-85c9-5d21-ab98-48a3b5fe5000_27da8130-82ba-485c-a800-b89efdcb0491.spold;treatment of municipal solid waste, municipal incineration FAE;CH;municipal solid waste
2fad6e9f-bf8b-5aa3-8944-04102dea81c4_472aa122-5d2c-45c0-9950-1c85af36eb30.spold;market for power sawing, with catalytic converter;GLO;power sawing, with catalytic converter
b52ff374-837d-57de-bd12-546afddbd5ea_f5707bdf-f7e2-479b-b3ea-99c04de8a927.spold;nutrient supply from potassium nitrate;RoW;inorganic nitrogen fertiliser, as N
a68a8b3f-64e3-5ac3-8a48-bac03ab73d3a_008275c2-0c44-56d8-8373-bd86848dcaeb.spold;treatment of bottom ash, MSWI[F], waste newspaper, slag compartment;CH;bottom ash, MSWI[F], waste newspaper
94f78534-6929-5c82-bfa2-19efa6f3e63e_74e6ad5d-3831-4496-a046-abfa116962fb.spold;market for copper slag;GLO;copper slag
55b7f617-58b5-5e45-9793-e0376a3e5b8b_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hydro, pumped storage;FR;electricity, high voltage
c3ff6062-44d3-599f-b0f0-bb65a7b7366c_ef02b2fa-d013-4ed0-9212-092f679b0685.spold;market for sewage sludge, 97% water, WWT, WW from potato starch production;RoW;sewage sludge, 97% water, WWT, WW from potato starch production
07fb650b-ab29-5873-b362-55640af84456_e69390d8-c2f8-53be-9ee2-b8657f3b3cb7.spold;market for aircraft, agricultural;GLO;aircraft, agricultural
484f4655-99e6-571f-9f3e-d8698ad976fa_8ceb526a-83db-4218-bb7f-dad6c0056aec.spold;market for sewage sludge, 70% water, WWT, condensate from light oil boiler;CH;sewage sludge, 70% water, WWT, condensate from light oil boiler
39e9cf73-5602-52d1-a397-e50ad37edc15_b89dadb0-75e9-44fd-8d41-1ec8dcce23b6.spold;light fuel oil production, petroleum refinery operation;Europe without Switzerland;light fuel oil
12f054dc-c50d-5586-890f-6c840799269f_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, wind, >3MW turbine, onshore;LV;electricity, high voltage
4371672b-a0b7-5179-99b8-f2571530f1cd_aa447135-9cc5-4f34-9385-ca2a0ae70d3c.spold;planing, lath, softwood, u=20%;RoW;shavings, softwood, loose, measured as dry mass
fa820461-69b0-5a52-9909-a9b91e02639e_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, deep geothermal;RoW;electricity, high voltage
daa92a22-bdc8-517d-ab9d-cb2b57e00214_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, natural gas, combined cycle power plant;CN-CQ;electricity, high voltage
3f57cb08-278f-5483-b0ca-a335d672d8c5_b2146f9b-f130-4b43-be21-b8397b9117a4.spold;glass cullet supply, for Saint-Gobain ISOVER SA;GLO;glass cullet, for Saint-Gobain ISOVER SA
a050badf-b764-5378-8f01-e38d65674764_a9007f10-7e39-4d50-8f4a-d6d03ce3d673.spold;petroleum and gas production, offshore;TM;natural gas, high pressure
f8aa1e01-6ea5-5bdd-8d5a-8f5ad428698c_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hard coal;CN-QH;electricity, high voltage
cd2603d4-3e24-5ab6-a709-626b366322e9_7e9077e8-7bbc-44c4-9759-62526ff34d47.spold;market for concrete, 20MPa;RoW;concrete, 20MPa
dead3a91-0a24-5f71-86be-9328a4edb9db_c53d3387-2ce7-4619-afb1-a6e9b868a55b.spold;drying of lentils;CA-SK;drying of lentils
f1004551-b585-5695-bf71-f2cab98cf7a6_92292ccd-ecbb-5ae6-8141-03114dd9c07c.spold;market for structural timber;RER;structural timber
2a1b0b5f-128d-57ff-8d41-41bd08b3ff32_27da8130-82ba-485c-a800-b89efdcb0491.spold;market for municipal solid waste;SK;municipal solid waste
1349ee77-0531-5671-8b26-52d73ef87444_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;electricity voltage transformation, residual mix, from high to medium voltage;DE;electricity, medium voltage
ff95d472-9180-56a1-b79c-dba20fff54d6_a9007f10-7e39-4d50-8f4a-d6d03ce3d673.spold;evaporation of natural gas, import from OM;JP;natural gas, high pressure
aa781093-950b-51fe-a021-9f9bf8cca0b6_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;treatment of waste asphalt, sanitary landfill;RoW;heat, district or industrial, other than natural gas
8a19addf-5076-5cf2-ad2b-7a74f4070c6f_b80eb2d5-1256-41bb-a61d-83252d0dfd4d.spold;diesel production, low-sulfur, petroleum refinery operation;Europe without Switzerland;diesel, low-sulfur
a4ca737c-2f49-5a64-b6c3-1bd5fc21b4e6_66c93e71-f32b-4591-901c-55395db5c132.spold;market for electricity, high voltage;EG;electricity, high voltage
20f02e7f-4c90-508b-902f-2e32f646cc3d_5ac871f5-3e64-46ce-a0f1-a3bda33442f1.spold;market for hydraulic fracturing fluid;GLO;hydraulic fracturing fluid
d54f66db-886f-59b9-897c-8f5c2b14984a_4c2bb0f0-422d-4fb3-bcfe-a36ef1b55874.spold;land already in use, annual cropland to annual crop;BR-CE;land tenure, arable land, measured as carbon net primary productivity, annual crop
52ece363-ee2c-5f91-a867-d402eb8dc0f2_4b490425-799f-4e3c-ba86-258734ca0b29.spold;market for forwarder;GLO;forwarder
8ffcbefa-bbd2-573d-a40c-b90ea117d844_577e08c9-53b2-41f4-a806-df09274d85e9.spold;plastic granulate production, unspecified, recycled, informal sector;IN;plastic granulate, unspecified, recycled
7b0bc1f6-8ee7-5edd-ad01-dbbc2f2e3611_3719fbf0-0ae5-4e1d-9668-e5f2cecf9a43.spold;market for rape meal;GLO;rape meal
2d0889b4-4cb9-5e69-a187-8bca7325e2d1_ca213807-7c00-4537-ac8c-23d39d0f2bd5.spold;market for corrugated board box;RER;corrugated board box
923f647d-d1b9-50b8-9cc1-644d3c4ce65b_9b9edcf3-0539-4642-9516-0df642a5c41a.spold;land already in use, perennial cropland to perennial crop;BR-PI;land tenure, arable land, measured as carbon net primary productivity, perennial crop
f97e4498-2351-58ef-b623-a55c2bf1ced0_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, nuclear, pressure water reactor;IN-TN;electricity, high voltage
9b9b2ea6-3c9f-5547-8373-ff8fcaadb462_fd3ee522-16db-41e4-967f-8bffe0b0ea87.spold;gravel and sand quarry operation;CH;gravel, round
d8cac44a-5f41-58d2-9393-1e773bc5230d_2be73167-58e8-4706-a68f-167c80df9f72.spold;market for chemical, organic;GLO;chemical, organic
51560e6d-ca9c-5ca1-b7be-772b44d02e8f_685944f8-452b-4ad4-a01a-863924792f27.spold;market for grape;GLO;grape
6e774be9-ea54-5113-a110-18844e5f2b27_6c3cb784-0eb8-531a-8216-4a5c40f8bc75.spold;market for electric arc furnace secondary metallurgy slag, for recovery;RoW;electric arc furnace secondary metallurgy slag, for recovery
10df6cfe-c55a-5a64-8994-8b365035d872_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity voltage transformation from medium to low voltage;MK;electricity, low voltage
0e5de0bb-73d2-5605-9f0e-e3609c378f81_f5707bdf-f7e2-479b-b3ea-99c04de8a927.spold;nutrient supply from ammonia, anhydrous, liquid;RER w/o RU;inorganic nitrogen fertiliser, as N
58caa213-a683-5954-97c7-334e9faa4658_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;electricity production, medium voltage, petroleum refinery operation;RoW;electricity, medium voltage
d33f2a89-b862-57ae-a622-cea1e8cf4e27_bf633ec7-acbf-46a8-b490-042e9557eda8.spold;market for sawnwood, lath, softwood, dried (u=20%), planed;Europe without Switzerland;sawnwood, lath, softwood, dried (u=20%), planed
890c4904-82b3-5af4-85a2-271bb97737bc_c9621350-b105-4bda-80ce-9ddbc8ce4281.spold;treatment of sewage sludge, 97% water, WWT-SLF, waste paint, landfarming;CH;sewage sludge, 97% water, WWT-SLF, waste paint
cb57e94d-2cde-54ab-a78f-35f61fc33581_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, oil;CN-SX;electricity, high voltage
9d9a9ccc-874c-5bca-aa60-df57c240fc45_6f179f71-33ce-4845-842f-bc7ae0bc1efe.spold;yarn production, kenaf;RoW;yarn, kenaf
f838363c-112c-54d7-a517-6fa82d19625d_858164b0-44f1-4118-b6cb-47054faa21ef.spold;treatment of metal scrap, mixed, for recycling, unsorted, sorting;Europe without Switzerland;aluminium scrap, post-consumer, prepared for melting
0e2e8bd2-a051-55fc-b4e3-bd747a377389_1fb56fd9-e394-4690-b8fe-97147bedbe4e.spold;market for coating, with melamine impregnated paper;GLO;coating, with melamine impregnated paper
8264570b-4a2d-5fee-9e20-cccc3dee8a90_a9e34472-154a-43e8-9456-1b44c54ef664.spold;treatment of leachate, SLF, waste wood, untreated, wastewater treatment;CH;leachate, SLF, waste wood, untreated
