Filename;ActivityName;Location;ReferenceProduct
723a608e-0dc5-5f65-891d-434d4dd405ad_abd02c30-27d3-4f52-9244-578e13b634b7.spold;market for tetrachloroethylene;RoW;tetrachloroethylene
b6fe4508-e26c-58b1-98fb-0b24a398111e_291fc06d-1b3e-4077-aabb-346b588ed24b.spold;petroleum refinery operation;CH;diesel
87850a9d-412d-5967-a255-1c166d4ee380_f93666bf-718f-4f42-b89f-89bcf5b486e9.spold;furnace production, pellet, 15kW;RoW;furnace, pellet, 15kW
7001433b-a0b3-5e60-810f-32a9a11cf3fe_7508d508-137d-4dd4-9353-a38465917991.spold;market for enriched uranium, 4.2%;GLO;enriched uranium, 4.2%
80e4bf31-c260-583d-b127-81de344c64da_5d954e5c-1e6d-4f78-9fc3-d3857b7892cb.spold;market for electricity, high voltage, aluminium industry;IAI Area, Africa;electricity, high voltage, aluminium industry
cb0c9cfb-7018-5797-9bc6-87cbd377dc7f_0d3eda5a-4601-4573-9549-0701c459ab88.spold;hard coal, import from RLA;RNA;hard coal
2c8cbb6c-4da5-583b-8c34-441ea286cc7a_2031e628-f866-412c-84bb-539a81b0c19d.spold;jute production, irrigated;RoW;jute plant, harvested
5c33fb53-df9c-5be4-a446-682e3bee6b3c_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, wind, <1MW turbine, onshore;RO;electricity, high voltage
24877983-d564-56d4-bccb-de1b22abcd0b_761145b7-3abe-48a5-a426-da5da6c36674.spold;aluminium sulfate production, powder;RER;aluminium sulfate, powder
826cfee1-c3af-586c-9e2c-96f891c198e3_7cb72345-4338-4f2d-830f-65bba3530fdb.spold;citric acid production;RER;energy feed, gross
32e587de-c58a-546d-aa55-95ec039ae4de_d69294d7-8d64-4915-a896-9996a014c410.spold;natural gas, burned in polymer electrolyte membrane fuel cell 2kWe, future;RoW;electricity, low voltage
eeb81dbd-0347-5810-90a4-9ffd51c2ddb8_250f290a-d874-47b1-a81f-12e52a08f6bf.spold;thermal storage system construction, solar thermal parabolic trough, 50 MW;ZA;used nitrate salts, for solar power application
eac542b9-a79e-52d2-abb5-1f0312ba78ee_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, import from MN;RU;electricity, high voltage
c8eb262f-a545-5567-8584-741264c31e09_dee1a118-12e5-47eb-8daa-f4cf683e4a5a.spold;market for water, harvested from rainwater;GLO;water, harvested from rainwater
4ff36185-9279-540c-9058-1489121742c4_0c40ca99-666f-43fd-bf25-4dcd9a5d4fcc.spold;market for sorting facility, for construction waste;GLO;sorting facility, for construction waste
13bbb1b4-d2d0-55e7-8c72-7ad0d023efb7_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;electricity voltage transformation from high to medium voltage;US-MRO;electricity, medium voltage
721499b7-81d4-534e-be78-95ad0e509ae8_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hydro, run-of-river;US-HICC;electricity, high voltage
e45b9dda-20ab-51be-9bde-f16babd8aefc_6dbeade5-eb8e-5666-b681-f479757cfd86.spold;treatment of sewage sludge, 97% water, WWT, rainwater mineral oil storage, landfarming;RoW;organic phosphorus fertiliser, as P2O5
896c4fbb-608c-592b-8350-ed9c7cedd389_deb4f70c-bf2a-4cd3-bc3b-c71af8820da3.spold;soybean production;BR-MT;soybean
e4c61df2-2775-5ca2-8ade-c7b4bf1fc182_76ab0018-e176-43e0-b42c-12e82b937fef.spold;autoclaved aerated concrete block production;IN;hard coal ash
cdc40592-3393-5881-9a3a-d359867e31e2_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;market for electricity, medium voltage;SK;electricity, medium voltage
ced60198-a6b0-5caa-983d-6f9f9d09bb01_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hard coal;CN-HA;electricity, high voltage
